text,num,gender,f_form,fname,m_form
Ефремова,6118,f,,Ефрем,Ефремов
Мальцева,6107,f,,,Мальцев
Пахомов,6102,m,Пахомова,Пахом,
Юрченко,6088,u,,,
Воронцов,6083,m,Воронцова,,
Большаков,6077,m,Большакова,,
Пронин,6074,m,Пронина,,
Носов,6067,m,Носова,,
Зотов,6061,m,Зотова,Зот,
Блинов,6057,m,Блинова,,
Бычков,6034,m,Бычкова,,
Петросян,6031,u,,,
Бобров,5974,m,Боброва,,
Самсонов,5968,m,Самсонова,Самсон,
Игнатов,5944,m,Игнатова,Игнат,
Нечаев,5944,m,Нечаева,,
Зимин,5941,m,Зимина,,
Ларин,5913,m,Ларина,,
Кудрявцева,5900,f,,,Кудрявцев
Шакиров,5889,m,Шакирова,Шакир,
Панченко,5888,u,,,
Ларионов,5888,m,Ларионова,Ларион,
Сазонов,5884,m,Сазонова,Сазон,
Черкасов,5873,m,Черкасова,,
Трофимова,5843,f,,Трофим,Трофимов
Володин,5832,m,Володина,,
Филатова,5822,f,,Филат,Филатов
Воронина,5811,f,,,Воронин
Дорофеев,5808,m,Дорофеева,,
Анисимова,5803,f,,Анисим,Анисимов
Маркин,5800,m,Маркина,,
Рожков,5800,m,Рожкова,,
Макеев,5788,m,Макеева,,
Устинов,5779,m,Устинова,Устин,
Климова,5778,f,,Клим,Климов
Никифорова,5770,f,,Никифор,Никифоров
Кравцов,5764,m,Кравцова,,
Малахов,5763,m,Малахова,Малах,
Пономаренко,5748,u,,,
Трифонов,5744,m,Трифонова,Трифон,
Корнеев,5728,m,Корнеева,,
Мищенко,5722,u,,,
Малышева,5714,f,,,Малышев
Широков,5713,m,Широкова,,
Курбанов,5707,m,Курбанова,Курбан,
Поздняков,5695,m,Позднякова,,
Емельянова,5686,f,,Емельян,Емельянов
Макаренко,5675,u,,,
Приходько,5658,u,,,
Фокин,5638,m,Фокина,,
Маслова,5633,f,,,Маслов
Евсеев,5606,m,Евсеева,,
Нестеренко,5577,u,,,
Белоусова,5571,f,,,Белоусов
Зорин,5570,m,Зорина,,
Суханов,5566,m,Суханова,,
Мещеряков,5559,m,Мещерякова,,
Моисеева,5549,f,,,Моисеев
Мишин,5540,m,Мишина,,
Тюрин,5535,m,Тюрина,,
Шарипов,5508,m,Шарипова,Шарип,
Котова,5501,f,,,Котов
Лаптев,5501,m,Лаптева,,
Никонов,5475,m,Никонова,Никон,
Глухов,5474,m,Глухова,,
Терехов,5466,m,Терехова,,
Терещенко,5437,u,,,
Коваль,5423,u,,,
Меркулов,5414,m,Меркулова,,
Серов,5408,m,Серова,,
Ульянов,5402,m,Ульянова,Ульян,
Соболева,5397,f,,,Соболев
Тарасенко,5383,u,,,
Кириллова,5383,f,,Кирилл,Кириллов
Ковальчук,5382,u,,,
Сычев,5370,m,Сычева,,
Костенко,5356,u,,,
Кононов,5347,m,Кононова,Конон,
Шаповалов,5346,m,Шаповалова,,
Зубков,5343,m,Зубкова,,
Колосов,5337,m,Колосова,Колос,
Дегтярев,5337,m,Дегтярева,,
Шилов,5332,m,Шилова,,
Борисенко,5325,u,,,
Гришина,5316,f,,,Гришин
Ткачев,5315,m,Ткачева,,
Исмаилов,5298,m,Исмаилова,Исмаил,
Кочетков,5278,m,Кочеткова,,
Логинова,5265,f,,Логин,Логинов
Гуляев,5255,m,Гуляева,,
Винокуров,5254,m,Винокурова,,
Лапин,5222,m,Лапина,,
Дьяченко,5222,u,,,
Хачатрян,5219,u,,,
Ушакова,5201,f,,,Ушаков
Черников,5199,m,Черникова,,
Фоменко,5197,u,,,
Родионова,5196,f,,Родион,Родионов
Артемьев,5192,m,Артемьева,,
Тимошенко,5185,u,,,
Долгов,5183,m,Долгова,,
Князева,5181,f,,,Князев
Сальников,5174,m,Сальникова,,
Антипов,5160,m,Антипова,Антип,
Муравьев,5125,m,Муравьева,,
Круглов,5118,m,Круглова,,
Сафин,5114,m,Сафина,,
Закиров,5114,m,Закирова,Закир,
Карасев,5103,m,Карасева,,
Кондратьева,5103,f,,,Кондратьев
Саркисян,5092,u,,,
Агеев,5089,m,Агеева,,
Нестерова,5084,f,,Нестер,Нестеров
Валеев,5080,m,Валеева,,
Леонова,5078,f,,Леон,Леонов
Родин,5058,m,Родина,,
Радченко,5055,u,,,
Плотникова,5034,f,,,Плотников
Новоселов,5021,m,Новоселова,,
Тищенко,5020,u,,,
Шубин,5016,m,Шубина,,
Прокофьев,5014,m,Прокофьева,,
Кошелев,5013,m,Кошелева,,
Гущин,4991,m,Гущина,,
